STREET_1,STREET_2,STREET_3,BOROUGH,NOOFHUMPS,NEARSCHOO,DATEINSTA,DATEREINS,ORDERNO,SEGMENTID
108 STREET,91 AVENUE,ATLANTIC AVENUE,Queens,1,0,7/18/2019,,B-01313390,169552
108 STREET,91 AVENUE,ATLANTIC AVENUE,Queens,1,0,7/18/2019,,B-01313390,169551
108 STREET,JAMAICA AVENUE,91 AVENUE,Queens,1,0,7/18/2019,,B-01313390,107751
JEFFERSON AVENUE,MARCY AVENUE,NOSTRAND AVENUE,Brooklyn,3,0,7/17/2019,,B-01369839,29793
WALTON AVENUE,MOUNT HOPE PLACE,EAST 176 STREET,Bronx,1,1,7/17/2019,,B-01371992,72359
COVERT STREET,WILSON AVENUE,CENTRAL AVENUE,Brooklyn,1,0,7/16/2019,,B-01368077,294325
COVERT STREET,WILSON AVENUE,CENTRAL AVENUE,Brooklyn,1,0,7/16/2019,,B-01368077,294326
68 STREET,OWLS HEAD COURT,SHORE ROAD,Brooklyn,1,0,7/15/2019,,B-01377649,17458
68 STREET,BLISS TERRACE,NARROWS AVENUE,Brooklyn,2,0,7/15/2019,,B-01377649,126923
68 STREET,BLISS TERRACE,NARROWS AVENUE,Brooklyn,2,0,7/15/2019,,B-01377649,126922
BEDFORD AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,Brooklyn,1,1,7/12/2019,,B-01369892 / 01370935,28514
COLUMBIA HEIGHTS,CRANBERRY STREET,VINE STREET,Brooklyn,1,0,7/11/2019,,B-01366351,191521
COLUMBIA HEIGHTS,CRANBERRY STREET,VINE STREET,Brooklyn,1,0,7/11/2019,,B-01366351,191520
COLUMBIA HEIGHTS,CRANBERRY STREET,VINE STREET,Brooklyn,1,0,7/11/2019,,B-01366351,23911
COLUMBIA HEIGHTS,CRANBERRY STREET,VINE STREET,Brooklyn,1,0,7/11/2019,,B-01366351,162530
COLUMBIA HEIGHTS,CRANBERRY STREET,VINE STREET,Brooklyn,1,0,7/11/2019,,B-01366351,162526
COLUMBIA HEIGHTS,CRANBERRY STREET,VINE STREET,Brooklyn,1,0,7/11/2019,,B-01366351,162525
EAST 91 STREET,1 AVENUE,2 AVENUE,Manhattan,1,1,7/10/2019,,B-01370421,37879
CLAREMONT AVENUE,WEST 120 STREET,WEST 119 STREET,Manhattan,1,1,7/8/2019,,B-01370486 / 01370499,38257
CLAREMONT AVENUE,WEST 119 STREET,WEST 116 STREET,Manhattan,2,2,7/8/2019,,B-01370486 / 01370499,38257
CLAREMONT AVENUE,WEST 119 STREET,WEST 116 STREET,Manhattan,2,2,7/8/2019,,B-01370486 / 01370499,38259
CLAREMONT AVENUE,WEST 119 STREET,WEST 116 STREET,Manhattan,2,2,7/8/2019,,B-01370486 / 01370499,293909
ESSEX STREET,ATLANTIC AVENUE,LIBERTY AVENUE,Brooklyn,1,0,7/3/2019,,B-01367997,168512
ESSEX STREET,ATLANTIC AVENUE,LIBERTY AVENUE,Brooklyn,1,0,7/3/2019,,B-01367997,168513
224 STREET,223 PLACE,64 AVENUE,Queens,1,0,7/2/2019,,B-01379719 / 01379722,101242
224 STREET,223 PLACE,64 AVENUE,Queens,1,0,7/2/2019,,B-01379719 / 01379722,101343
224 STREET,223 PLACE,64 AVENUE,Queens,1,0,7/2/2019,,B-01379719 / 01379722,101244
224 STREET,64 AVENUE,65 AVENUE,Queens,1,0,7/2/2019,,B-01379719 / 01379722,101242
224 STREET,65 AVENUE,67 AVENUE,Queens,1,0,7/2/2019,,B-01379719 / 01379722,101244
VERMONT STREET,WORTMAN AVENUE,COZINE AVENUE,Brooklyn,1,1,7/2/2019,,B-01367609 / 01367647,46872
CROWN STREET,UTICA AVENUE,SCHENECTADY AVENUE,Brooklyn,1,1,7/2/2019,,B-01366700,43154
CROWN STREET,SCHENECTADY AVENUE,TROY AVENUE,Brooklyn,1,0,7/2/2019,,B-01366700,43059
18 AVENUE,BENSON AVENUE,BATH AVENUE,Brooklyn,1,0,6/27/2019,,B-01380150 / 01341410,18590
18 AVENUE,BENSON AVENUE,BATH AVENUE,Brooklyn,1,0,6/27/2019,,B-01380150 / 01341410,18650
MYRTLE AVENUE,MARCY AVENUE,NOSTRAND AVENUE,Brooklyn,2,0,6/26/2019,,B-01341490 / 01341503,9008424
MYRTLE AVENUE,MARCY AVENUE,NOSTRAND AVENUE,Brooklyn,2,0,6/26/2019,,B-01341490 / 01341503,9008425
AVENUE Z,SHELL ROAD,WEST 3 STREET,Brooklyn,1,0,6/19/2019,,B-01340668 / 01340696,163090
AVENUE Z,SHELL ROAD,WEST 3 STREET,Brooklyn,1,0,6/19/2019,,B-01340668 / 01340696,163089
AVENUE Z,EAST 2 STREET,EAST 1 STREET,Brooklyn,1,0,6/18/2019,,B-01340668 / 01340696,25256
AVENUE Z,CONEY ISLAND AVENUE,EAST 7 STREET,Brooklyn,1,1,6/17/2019,,B-01340668 / 01340696,25599
GUY R BREWER BOULEVARD,JAMAICA AVENUE,ARCHER AVENUE,Queens,1,0,6/14/2019,,B-01342032 / 01342047,60094
GUY R BREWER BOULEVARD,107 AVENUE,108 AVENUE,Queens,1,0,6/12/2019,,B-01342032 / 01342047,60189
