STREET_1,STREET_2,STREET_3,BOROUGH,NOOFHUMPS,NEARSCHOO,DATEINSTA,DATEREINS,ORDERNO,SEGMENTID
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006899
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024112
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024113
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024111
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007436
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006900
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007434
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007435
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007432
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006899
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024112
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024113
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024111
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007436
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006900
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007434
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007435
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007432
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006899
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024112
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024113
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024111
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007436
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006900
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007434
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007435
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007432
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006899
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024112
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024113
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024111
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007436
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006900
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007434
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007435
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007432
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006899
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024112
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024113
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024111
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007436
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006900
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007434
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007435
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007432
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006899
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024112
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024113
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024111
OCEAN PARKWAY,18 AVENUE,DITMAS AVENUE,Brooklyn,2,2,7/10/2019,,B-01368095,163568
OCEAN PARKWAY,18 AVENUE,DITMAS AVENUE,Brooklyn,2,2,7/10/2019,,B-01368095,163569
OCEAN PARKWAY,DITMAS AVENUE,AVENUE F,Brooklyn,2,2,7/10/2019,,B-01367961,163568
GUY R BREWER BOULEVARD,TUSKEGEE AIRMEN WAY,LIBERTY AVENUE,Queens,1,0,6/13/2019,,B-01342032 / 01342047,171057
GUY R BREWER BOULEVARD,TUSKEGEE AIRMEN WAY,LIBERTY AVENUE,Queens,1,0,6/13/2019,,B-01342032 / 01342047,171056
GUY R BREWER BOULEVARD,TUSKEGEE AIRMEN WAY,LIBERTY AVENUE,Queens,1,0,6/13/2019,,B-01342032 / 01342047,171057
GUY R BREWER BOULEVARD,TUSKEGEE AIRMEN WAY,LIBERTY AVENUE,Queens,1,0,6/13/2019,,B-01342032 / 01342047,171056
HENDRIX STREET,FULTON STREET,ATLANTIC AVENUE,Brooklyn,1,0,1/31/2020,,B-01300746,168446
HENDRIX STREET,FULTON STREET,ATLANTIC AVENUE,Brooklyn,1,0,1/31/2020,,B-01300746,168445
STRICKLAND AVENUE,MILL AVENUE,EAST 60 PLACE,Brooklyn,2,0,1/29/2020,,B-01367753,41520
EAST 107 STREET,AVENUE J,FLATLANDS AVENUE,Brooklyn,2,2,1/7/2020,,B-01400494,128717
EAST 107 STREET,AVENUE J,FLATLANDS AVENUE,Brooklyn,2,2,1/7/2020,,B-01400494,186735
EAST 107 STREET,AVENUE J,FLATLANDS AVENUE,Brooklyn,2,2,1/7/2020,,B-01400494,186736
GERARD AVENUE,EAST 140 STREET,EAST 144 STREET,Bronx,1,1,7/24/2019,,B-01372699,215850
GERARD AVENUE,EAST 140 STREET,EAST 144 STREET,Bronx,1,1,7/24/2019,,B-01372699,215851
EAST 56 STREET,SUTTON PLACE SOUTH,1 AVENUE,Manhattan,1,0,7/3/2019,,B-01370436,36363
CROTONA PARK EAST,CROTONA PARK PATH,EAST 173 STREET,Bronx,2,0,8/16/2019,,B-01374551,113520
HOMECREST AVENUE,WILLIAMS COURT,SHORE PARKWAY,Brooklyn,1,0,3/27/2019,,B-01336153 / 01336157,120691
51 AVENUE,72 PLACE,73 PLACE,Queens,1,0,5/15/2019,,B-01367679/01367743,74414
51 AVENUE,72 PLACE,73 PLACE,Queens,1,0,5/15/2019,,B-01367679/01367743,113276
51 AVENUE,72 PLACE,73 PLACE,Queens,1,0,5/15/2019,,B-01367679/01367743,113275
VANDERBILT AVENUE,TALBOT PLACE,TOMPKINS AVENUE,Staten Island,1,0,9/19/2019,,B-01388480 / 01388523,265448
BEACH FRONT ROAD,BEACH 69 STREET,SANDY DUNE WAY,Queens,1,0,12/20/2018,,B-01338960 / 01339115,214093
BEACH FRONT ROAD,SANDY DUNE WAY,WATER WAY,Queens,1,0,12/20/2018,,B-01338960 / 01339115,214094
BEACH FRONT ROAD,BEACH WAY,BEACH 67 STREET,Queens,2,0,12/19/2018,,B-01338960 / 01339115,250655
BEACH FRONT ROAD,BEACH WAY,BEACH 67 STREET,Queens,2,0,12/19/2018,,B-01338960 / 01339115,269692
BEACH FRONT ROAD,OCEAN AVENUE SOUTH,BEACH WAY,Queens,2,0,12/18/2018,,B-01338960 / 01339115,250659
BEACH FRONT ROAD,OCEAN AVENUE SOUTH,BEACH WAY,Queens,2,0,12/18/2018,,B-01338960 / 01339115,251131
BEACH FRONT ROAD,OCEAN AVENUE SOUTH,BEACH WAY,Queens,2,0,12/18/2018,,B-01338960 / 01339115,250684
GROTON STREET,70 AVENUE,69 AVENUE,Queens,1,0,12/17/2018,,B-01307551 / 01308891,131071
GROTON STREET,70 AVENUE,69 AVENUE,Queens,1,0,12/17/2018,,B-01307551 / 01308891,131073
GROTON STREET,70 AVENUE,69 AVENUE,Queens,1,0,12/17/2018,,B-01307551 / 01308891,131072
GROTON STREET,69 AVENUE,68 AVENUE,Queens,2,0,12/13/2018,,B-01307551 / 01308891,130991
GROTON STREET,69 AVENUE,68 AVENUE,Queens,2,0,12/13/2018,,B-01307551 / 01308891,130990
GROTON STREET,69 AVENUE,68 AVENUE,Queens,2,0,12/13/2018,,B-01307551 / 01308891,130993
GROTON STREET,69 AVENUE,68 AVENUE,Queens,2,0,12/13/2018,,B-01307551 / 01308891,130992
GROTON STREET,69 AVENUE,68 AVENUE,Queens,2,0,12/13/2018,,B-01307551 / 01308891,130995
GROTON STREET,69 AVENUE,68 AVENUE,Queens,2,0,12/13/2018,,B-01307551 / 01308891,130994
97 STREET,30 AVENUE,ASTORIA BOULEVARD,Queens,1,1,12/5/2018,,B-01310153 / 01310160,175516
97 STREET,30 AVENUE,ASTORIA BOULEVARD,Queens,1,1,12/5/2018,,B-01310153 / 01310160,175515
97 STREET,30 AVENUE,ASTORIA BOULEVARD,Queens,1,1,12/5/2018,,B-01310153 / 01310160,76808
EAST 239 STREET,VIREO AVENUE,MARTHA AVENUE,Bronx,2,0,12/5/2018,,B-01329414,88946
EAST 239 STREET,MARTHA AVENUE,KATONAH AVENUE,Bronx,1,0,12/5/2018,,B-01329414,88873
EAST 239 STREET,KATONAH AVENUE,KEPLER AVENUE,Bronx,1,0,12/5/2018,,B-01329414,81410
AVENUE V,EAST 8 STREET,EAST 7 STREET,Brooklyn,1,0,12/4/2018,,B-01339167 / 01339181,25630
56 STREET,18 AVENUE,17 AVENUE,Brooklyn,1,1,12/3/2018,,B-01337258,20303
VAN NEST AVENUE,PAULDING AVENUE,COLDEN AVENUE,Bronx,1,0,11/29/2018,,B-01337305,86496
EAST 91 STREET,AVENUE L,AVENUE M,Brooklyn,1,1,11/28/2018,,B-01332731,46471
DURYEA AVENUE,STRANG AVENUE,EAST 233 STREET,Bronx,1,0,11/28/2018,,B-01328839 / 01328844,89732
DURYEA AVENUE,NUVERN AVENUE,STRANG AVENUE,Bronx,1,0,11/28/2018,,B-01328839 / 01328844,89742
WEST 261 STREET,NETHERLAND AVENUE,INDEPENDENCE AVENUE,Bronx,1,1,11/27/2018,,B-01328212 / 01328220,81423
EAST 240 STREET,KATONAH AVENUE,VAN CORTLANDT PARK EAST,Bronx,1,0,11/27/2018,,B-01329392,296374
EAST 240 STREET,KATONAH AVENUE,VAN CORTLANDT PARK EAST,Bronx,1,0,11/27/2018,,B-01329392,296373
EAST 96 STREET,AVENUE D,NOLANS LANE,Brooklyn,1,1,11/26/2018,,B-01332740,42888
EAST 96 STREET,NOLANS LANE,FOSTER AVENUE,Brooklyn,1,1,11/26/2018,,B-1332740,42894
ESSEX STREET,JAMAICA AVENUE,RIDGEWOOD AVENUE,Brooklyn,1,0,11/19/2018,,B-01334327,48048
WEST 19 STREET,9 AVENUE,10 AVENUE,Manhattan,2,0,11/14/2018,,B-01318703,9001768
WEST 19 STREET,9 AVENUE,10 AVENUE,Manhattan,2,0,11/14/2018,,B-01318703,9001773
WEST 19 STREET,9 AVENUE,10 AVENUE,Manhattan,2,0,11/14/2018,,B-01318703,9001762
WEST 19 STREET,9 AVENUE,10 AVENUE,Manhattan,2,0,11/14/2018,,B-01318703,9001763
WEST 19 STREET,9 AVENUE,10 AVENUE,Manhattan,2,0,11/14/2018,,B-01318703,9001766
WEST 19 STREET,9 AVENUE,10 AVENUE,Manhattan,2,0,11/14/2018,,B-01318703,9001767
WEST 19 STREET,9 AVENUE,10 AVENUE,Manhattan,2,0,11/14/2018,,B-01318703,9001771
LYDIG AVENUE,WILLIAMSBRIDGE ROAD,TOMLINSON AVENUE,Bronx,1,0,11/14/2018,,B-01329352,88031
LYDIG AVENUE,TOMLINSON AVENUE,HAIGHT AVENUE,Bronx,1,0,11/14/2018,,B-01329352,87909
LYDIG AVENUE,LURTING AVENUE,HONE AVENUE,Bronx,1,0,11/14/2018,,B-01329362,87903
HENNESSY PLACE,WEST 179 STREET,WEST BURNSIDE AVENUE,Bronx,1,0,11/9/2018,,B-01329446,72830
WEST 180 STREET,OSBORNE PLACE,LORING PL SOUTH,Bronx,1,1,11/9/2018,,B-01328278,72969
KINSELLA STREET,BRONXDALE AVENUE,MATTHEWS AVENUE,Bronx,1,0,11/8/2018,,B-01329367,86208
HOE AVENUE,JENNINGS STREET,FREEMAN STREET,Bronx,1,0,11/8/2018,,B-01329449,113514
EAST 83 STREET,2 AVENUE,3 AVENUE,Manhattan,2,0,11/8/2018,,B-01324865,37649
WEST 85 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,Manhattan,2,2,11/7/2018,,B-01339079,37216
INTERVALE AVENUE,EAST 165 STREET,WESTCHESTER AVENUE,Bronx,1,1,11/7/2018,,B-01329375 / 01329378,107102
INTERVALE AVENUE,EAST 165 STREET,WESTCHESTER AVENUE,Bronx,1,1,11/7/2018,,B-01329375 / 01329378,107103
WEST 158 STREET,AMSTERDAM AVENUE,BROADWAY,Manhattan,2,2,11/2/2018,,B-01317749,173648
WEST 158 STREET,AMSTERDAM AVENUE,BROADWAY,Manhattan,2,2,11/2/2018,,B-01317749,173647
CROTONA PARK SOUTH,CLINTON AVENUE,FRANKLIN AVENUE,Bronx,1,0,11/1/2018,,B-01324169,78489
FORSYTH STREET,RIVINGTON STREET,STANTON STREET,Manhattan,1,0,11/1/2018,,B-01324867,9001847
FORSYTH STREET,RIVINGTON STREET,STANTON STREET,Manhattan,1,0,11/1/2018,,B-01324867,9001846
FORSYTH STREET,RIVINGTON STREET,STANTON STREET,Manhattan,1,0,11/1/2018,,B-01324867,9001849
BOGART AVENUE,COLDEN AVENUE,BRADY AVENUE,Bronx,1,0,10/31/2018,,B-01325001,86251
BOGART AVENUE,COLDEN AVENUE,BRADY AVENUE,Bronx,1,0,10/31/2018,,B-01325001,87773
CHATTERTON AVENUE,PUGSLEY AVENUE,VIRGINIA AVENUE,Bronx,1,0,10/31/2018,8/7/2019,B-01324152,86268
WATERBURY AVENUE,EDISON AVENUE,BRADFORD AVENUE,Bronx,1,0,10/30/2018,,B-01328250 / 01328256,94231
HOLLAND AVENUE,WARING AVENUE,ASTOR AVENUE,Bronx,1,0,10/30/2018,,B-01328858,87644
EAST 215 STREET,HOLLAND AVENUE,WHITE PLAINS ROAD,Bronx,1,0,10/29/2018,,B-01329348,178586
EAST 215 STREET,HOLLAND AVENUE,WHITE PLAINS ROAD,Bronx,1,0,10/29/2018,,B-01329348,178587
EAST 215 STREET,HOLLAND AVENUE,BARNES AVENUE,Bronx,1,0,10/29/2018,,B-01329348,88954
EAST 214 STREET,WILSON AVENUE,MSGR CAHILL PLACE,Bronx,1,1,10/29/2018,,B-01328790 / 0 1328797,88288
SUMMIT AVENUE,WEST 162 STREET,WEST 161 STREET,Bronx,1,0,10/25/2018,,B-01328271,289802
SUMMIT AVENUE,WEST 162 STREET,WEST 161 STREET,Bronx,1,0,10/25/2018,,B-01328271,289801
WEST 44 STREET,10 AVENUE,11 AVENUE,Manhattan,1,1,10/24/2018,,B-01320317,106086
WEST 44 STREET,10 AVENUE,11 AVENUE,Manhattan,1,1,10/24/2018,,B-01320317,106085
5 AVENUE,WEST 141 STREET,WEST 139 STREET,Manhattan,1,0,10/23/2018,,B-01324764 / 01324854,69366
WEST 71 STREET,AMSTERDAM AVENUE,WEST END AVENUE,Manhattan,2,2,10/19/2018,,B-01320446,34491
HUTCHINSON RIVER PARKWAY EAST,LEE STREET,ROBERTS AVENUE,Bronx,1,0,10/19/2018,,B-01329402,116567
HUTCHINSON RIVER PARKWAY EAST,LIBBY PLACE,BUHRE AVENUE,Bronx,1,0,10/19/2018,,B-01329402,87418
STORY AVENUE,HAVEMEYER AVENUE,CASTLE HILL AVENUE,Bronx,1,0,10/18/2018,,B-01328258,86537
EAST 114 STREET,1 AVENUE,PLEASANT AVENUE,Manhattan,1,0,10/17/2018,,B-01318853,129762
EAST 114 STREET,1 AVENUE,PLEASANT AVENUE,Manhattan,1,0,10/17/2018,,B-01318853,129763
WEST 89 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,Manhattan,1,1,10/17/2018,,B-01320015,9002842
WEST 89 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,Manhattan,1,1,10/17/2018,,B-01320015,9002843
DICKINSON AVENUE,VAN CORTLANDT PARK SOUTH,SEDGWICK AVENUE,Bronx,1,0,10/17/2018,,B-01325384 / 01325432,192687
DICKINSON AVENUE,VAN CORTLANDT PARK SOUTH,SEDGWICK AVENUE,Bronx,1,0,10/17/2018,,B-01325384 / 01325432,192690
DICKINSON AVENUE,VAN CORTLANDT PARK SOUTH,SEDGWICK AVENUE,Bronx,1,0,10/17/2018,,B-01325384 / 01325432,176727
DICKINSON AVENUE,VAN CORTLANDT PARK SOUTH,SEDGWICK AVENUE,Bronx,1,0,10/17/2018,,B-01325384 / 01325432,192689
DICKINSON AVENUE,VAN CORTLANDT PARK SOUTH,SEDGWICK AVENUE,Bronx,1,0,10/17/2018,,B-01325384 / 01325432,192688
PELHAM PARKWAY NORTH,BARKER AVENUE,BRONX PARK EAST,Bronx,1,0,10/17/2018,,B-01328265,80724
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,9003403
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,9003402
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,9003401
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,9003400
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,9003404
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,9009560
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,9003399
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,9003397
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,9009561
WEST 112 STREET,5 AVENUE,LENOX AVENUE,Manhattan,2,2,10/16/2018,,B-01320239,166473
ODELL STREET,STARLING AVENUE,DEAD END,Bronx,1,1,10/16/2018,,B-01328242 / 01328248,9008389
ODELL STREET,STARLING AVENUE,DEAD END,Bronx,1,1,10/16/2018,,B-01328242 / 01328248,86440
ODELL STREET,STARLING AVENUE,DEAD END,Bronx,1,1,10/16/2018,,B-01328242 / 01328248,9008388
TAYLOR AVENUE,MC GRAW AVENUE,WESTCHESTER AVENUE,Bronx,1,0,10/16/2018,,B-01328203,85941
VIREO AVENUE,EAST 240 STREET,EAST 239 STREET,Bronx,1,0,10/15/2018,,B-01328183 / 01328198,89053
VIREO AVENUE,EAST 238 STREET,EAST 237 STREET,Bronx,1,0,10/15/2018,,B-01328183 / 01328198,88942
VIREO AVENUE,EAST 234 STREET,EAST 233 STREET,Bronx,1,0,10/15/2018,,B-01328183 / 01328198,88923
EAST 74 STREET,LEXINGTON AVENUE,PARK AVENUE,Manhattan,1,1,10/12/2018,,B-01306277,165999
EAST 74 STREET,LEXINGTON AVENUE,PARK AVENUE,Manhattan,1,1,10/12/2018,,B-01306277,166000
EAST 74 STREET,3 AVENUE,LEXINGTON AVENUE,Manhattan,1,0,10/12/2018,,B-01306277,37450
DECATUR AVENUE,EAST 207 STREET,EAST 205 STREET,Bronx,1,0,10/12/2018,,B-01325139,80643
TUDOR CITY PLACE,EAST 41 STREET,EAST 43 STREET,Manhattan,1,0,10/11/2018,,B-01318509,36103
TUDOR CITY PLACE,EAST 41 STREET,EAST 43 STREET,Manhattan,1,0,10/11/2018,,B-01318509,36075
SECOR AVENUE,EAST 233 STREET,CITY LIMITS,Bronx,2,0,10/11/2018,,B-01328277 / 01328281,95619
SECOR AVENUE,EAST 233 STREET,CITY LIMITS,Bronx,2,0,10/11/2018,,B-01328277 / 01328281,95616
EAST 90 STREET,YORK AVENUE,1 AVENUE,Manhattan,1,0,10/10/2018,,B-01292753,37884
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,9001649
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,219962
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,219963
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,9001651
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,9001647
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,9001646
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,9009607
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,166367
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,294361
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,260823
LA SALLE STREET,BROADWAY,AMSTERDAM AVENUE,Manhattan,2,0,10/10/2018,,B-01318826 / 01318840,294362
MAC DOUGAL STREET,BLEECKER STREET,WEST HOUSTON STREET,Manhattan,1,0,10/9/2018,,B-01318482,164222
MAC DOUGAL STREET,BLEECKER STREET,WEST HOUSTON STREET,Manhattan,1,0,10/9/2018,,B-01318482,164223
EAST 24 STREET,MADISON AVENUE,PARK AVENUE SOUTH,Manhattan,1,0,10/9/2018,,B-01318816,164408
EAST 24 STREET,MADISON AVENUE,PARK AVENUE SOUTH,Manhattan,1,0,10/9/2018,,B-01318816,164407
BLONDELL AVENUE,FINK AVENUE,PONTON AVENUE,Bronx,1,0,10/9/2018,,B-01325900,87202
BLONDELL AVENUE,HALPERIN AVENUE,ST RAYMONDS AVENUE,Bronx,1,0,10/9/2018,,B-01325900,87100
HOLLYWOOD AVENUE,LAFAYETTE AVENUE,PHILIP AVENUE,Bronx,1,0,10/9/2018,,B-01328214 / 01328219,94666
GUNTHER AVENUE,ARNOW AVENUE,BARTOW AVENUE,Bronx,1,0,10/4/2018,,B-01325690 / 01325692,88774
GUNTHER AVENUE,BARNES AVENUE,PITMAN AVENUE,Bronx,1,0,10/4/2018,,B-01325373,89362
GUNTHER AVENUE,BUSSING AVENUE,EDENWALD AVENUE,Bronx,1,0,10/4/2018,,B-01325357 / 01325366,89463
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9008555
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001708
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001705
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001701
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001694
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001689
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001688
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9008554
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001686
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001690
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001691
EAST 137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,Bronx,2,0,10/1/2018,,B-01325391,9001692
DE REIMER AVENUE,EDENWALD AVENUE,STRANG AVENUE,Bronx,1,0,9/27/2018,,B-01324164,131435
DE REIMER AVENUE,EDENWALD AVENUE,STRANG AVENUE,Bronx,1,0,9/27/2018,,B-01324164,131434
