nodeid,masterid,control_type,control_id,node_lon_lat,control_lon_lat,distance
45618,45618,SIG,42899,"[-73.8902761816243, 40.7407582728626]","[-73.890275, 40.7407589999998]",0.421188865478076
45621,45621,SIG,43061,"[-73.8879155979916, 40.7158064322287]","[-73.887917, 40.7158059999998]",0.419348376311896
45625,45625,SIG,42977,"[-73.8866622528052, 40.7163961384267]","[-73.886661, 40.7163949999998]",0.540963591110217
45641,45641,SIG,40970,"[-73.8872397203255, 40.7212801832868]","[-73.887241, 40.7212789999998]",0.55828074109007
45643,45643,SIG,43439,"[-73.8864388582449, 40.7216517571454]","[-73.886435, 40.7216519999998]",1.07312367997812
45644,45644,SIG,40971,"[-73.8856407599179, 40.7220215541635]","[-73.885641, 40.7220209999998]",0.212583677865459
45651,45651,SIG,41015,"[-73.8870771222099, 40.7246377017929]","[-73.887076, 40.7246379999998]",0.329480643975869
45665,45671,SIG,41011,"[-73.8872411402467, 40.7274016078306]","[-73.887241, 40.7274019999998]",0.148072781205568
45672,45672,SIG,41009,"[-73.887201141788, 40.7286120703773]","[-73.887199, 40.7286129999998]",0.683445759898148
45678,45682,SIG,42427,"[-73.8880597520786, 40.7300872301624]","[-73.888009, 40.7300529999998]",18.7986060399737
45684,45684,SIG,42181,"[-73.8855949059396, 40.7309304397689]","[-73.885594, 40.7309309999998]",0.323579169109034
45704,45704,SIG,42602,"[-73.8875354018117, 40.7367625419688]","[-73.887536, 40.7367619999998]",0.257818287283933
45706,45706,SIG,42280,"[-73.8865671096168, 40.736939019442]","[-73.886568, 40.7369399999998]",0.434179119489985
45708,45708,SIG,42445,"[-73.8856081549668, 40.7371143904246]","[-73.885608, 40.7371149999998]",0.226201596743748
45713,45713,SIG,42571,"[-73.8873066682715, 40.7386442275017]","[-73.887305, 40.7386449999998]",0.541242618947719
45719,45719,SIG,40731,"[-73.8883996824729, 40.7409776255029]","[-73.888402, 40.7409759999998]",0.873591520547372
45726,45726,SIG,42830,"[-73.8857258829783, 40.7412887044168]","[-73.885727, 40.7412889999999]",0.32773508120522
45731,45731,SIG,42769,"[-73.8842286910531, 40.7175238670423]","[-73.884228, 40.7175239999998]",0.197594997178254
45746,45746,SIG,41047,"[-73.8845492850199, 40.722525479993]","[-73.884551, 40.7225249999998]",0.50651629893821
45772,45772,SIG,42643,"[-73.882373349416, 40.7289814996505]","[-73.882377, 40.7289809999999]",1.0280422925237
45775,83110,SIG,41091,"[-73.8818544692616, 40.7283221386127]","[-73.881881, 40.7283339999998]",8.52916882134348
45777,45777,SIG,40703,"[-73.8847746018751, 40.7319708534643]","[-73.884776, 40.7319699999998]",0.496822399407304
45787,45787,SIG,40704,"[-73.883810870232, 40.7335595354553]","[-73.88381, 40.7335579999998]",0.609188927045609
45799,45799,SIG,40694,"[-73.8821065875285, 40.7348739508334]","[-73.882108, 40.7348739999998]",0.3918560412113
45806,45806,SIG,40722,"[-73.8823025265911, 40.7377077002674]","[-73.88223, 40.7376959999998]",20.5459353690958
45815,45815,SIG,42243,"[-73.8826334144469, 40.7427869750257]","[-73.882632, 40.7427879999998]",0.541362337081274
45825,45825,SIG,43509,"[-73.8818296985416, 40.7186403952754]","[-73.881817, 40.7186409999998]",3.52696571930733
45836,45836,SIG,43064,"[-73.8816340899848, 40.7238804522672]","[-73.881633, 40.7238809999998]",0.362079074013615
45841,45841,SIG,41025,"[-73.8796426207757, 40.7255603071263]","[-73.879643, 40.7255609999998]",0.273444626870328
45842,45842,SIG,41048,"[-73.879200430668, 40.72500849877]","[-73.879211, 40.7250099999999]",2.98019303576394
45844,45844,SIG,43065,"[-73.8783681452525, 40.7253940854081]","[-73.878369, 40.7253949999998]",0.408852372534847
45847,45847,SIG,42967,"[-73.880798829617, 40.727003856368]","[-73.880798, 40.7270029999998]",0.387581019578721
45863,45863,SIG,42928,"[-73.8800791281438, 40.7297148583536]","[-73.880079, 40.7297149999998]",0.0626464527762731
45893,108515,SIG,40696,"[-73.8805153680948, 40.7357521707942]","[-73.880515, 40.7357529999999]",0.318863759356373
45898,45898,SIG,40720,"[-73.8794044051372, 40.7371585165476]","[-73.879405, 40.7371579999998]",0.250186839407067
45899,45899,SIG,42898,"[-73.8786668971105, 40.7362480932342]","[-73.878667, 40.7362479999998]",0.0443494691387379
45906,66983,SIG,41288,"[-73.8792709426688, 40.7382583656711]","[-73.87927, 40.7382579999998]",0.293244337318519
45909,45909,SIG,43160,"[-73.8784868225464, 40.7399339090202]","[-73.878546, 40.7399939999999]",27.3538061190415
45911,45911,SIG,41223,"[-73.8810038793608, 40.7418406612812]","[-73.881003, 40.7418419999998]",0.545221551652496
45912,45912,SIG,41226,"[-73.8802776548381, 40.741297460724]","[-73.880278, 40.7412979999998]",0.218519997509529
45917,45917,SIG,40743,"[-73.8791073975573, 40.7404450781383]","[-73.879105, 40.7404399999998]",1.9658047015341
45922,45922,SIG,43096,"[-73.878479346201, 40.7421505824732]","[-73.878479, 40.7421489999998]",0.584472348390274
45933,45933,SIG,42954,"[-73.8753124558399, 40.715721629293]","[-73.875314, 40.7157219999999]",0.448866147565549
45935,45935,SIG,43659,"[-73.8772586896825, 40.7197915443069]","[-73.87724, 40.7197919999998]",5.18341165908605
45937,45937,SIG,43623,"[-73.8763056552426, 40.7199705273998]","[-73.876265, 40.7199729999998]",11.3054899545575
45939,45939,SIG,41052,"[-73.8753086099854, 40.7201560187701]","[-73.875309, 40.7201549999998]",0.386593570019141
45940,45940,SIG,41082,"[-73.8747046835578, 40.7193978995026]","[-73.874704, 40.7193969999998]",0.378552010561051
45942,45942,SIG,42647,"[-73.8776740605802, 40.7231011279086]","[-73.877701, 40.7230749999998]",12.0985234901763
45944,45944,SIG,41051,"[-73.8764638249253, 40.7215939934383]","[-73.876464, 40.7215939999998]",0.0485879739009251
45947,45947,SIG,41049,"[-73.8775557775558, 40.7257505827241]","[-73.877557, 40.7257509999998]",0.371372351866907
45966,45966,SIG,42610,"[-73.8747082958039, 40.7270901976014]","[-73.874708, 40.7270899999998]",0.109109306683938
45995,45995,SIG,41085,"[-73.8764324935266, 40.7323960512059]","[-73.876433, 40.7323949999999]",0.407899735681467
46001,46001,SIG,40690,"[-73.8776694648603, 40.7367525997144]","[-73.877659, 40.7367519999999]",2.90832457434308
46002,46011,SIG,41224,"[-73.8772094064535, 40.7376804532544]","[-73.877207, 40.7376769999998]",1.42394790692193
46005,46005,SIG,41261,"[-73.8760171037435, 40.7356327359562]","[-73.876016, 40.7356329999999]",0.320653935709835
