ogc_fid,nodeid,vintersect,version,created,masterid,is_int,manual_fix,is_cntrln_int
"131152",9052318,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131205",9052374,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131206",9052375,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131374",9052597,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131375",9052598,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131597",9052842,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131598",9052843,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131601",9052850,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131602",9052851,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131614",9052865,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131615",9052867,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131616",9052868,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131643",9052914,,19d,2019-12-13T10:04:53.983,,"0","0","0"
